treated_cost,LTR,NR,NVTR,sim_delta_q_250_500m,n_od_paths,primary
100.0,39596.6332959244,46905.51070378623,-7308.87740786183,1699.6479678810945,2307,True
10.0,39596.6332959244,46905.51070378623,-7308.87740786183,1699.6479678810945,2307,False
1000.0,39596.6332959244,46905.51070378623,-7308.87740786183,1699.6479678810945,2307,False
