station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other
4045,PASSEIG DE GRÀCIA - ROSSELLÓ (Baixada),500_1000m,5114.142857142857,4645.166666666667,-468.9761904761899,53373,3.8,False
4041,PROVENÇA - BALMES  (sentit Llobregat),500_1000m,8702.142857142857,8124.347826086957,-577.7950310558999,37527,0.4,False
4038,SARDENYA - CASP  (sentit mar),500_1000m,8052.285714285715,7663.75,-388.5357142857147,47009,3.4,False
5014,PELAI - BALMES,500_1000m,26759.285714285717,20846.809523809523,-5912.476190476191,5174,1.6,True
6005,CÒRSEGA - NÀPOLS  (sentit Llobregat),500_1000m,14161.285714285714,16748.375,2587.0892857142862,46716,2.0,False
5012,FONTANELLA - PL. CATALUNYA,500_1000m,11373.833333333334,11221.916666666666,-151.91666666666788,24780,0.2,False
4083,MARINA - CASP (Pujada),500_1000m,18198.0,17085.75,-1112.25,44437,5.2,False
6004,ROSSELLÓ - NÀPOLS (sentit Besòs),500_1000m,23899.14285714286,23150.590909090908,-748.5519480519506,39208,4.1,False
3028,AV. PARAL·LEL -  JAUME FABRA (Pujada),500_1000m,14431.142857142857,13615.75,-815.3928571428569,47697,2.8,False
4040,BALMES - ROSSELLÓ (baixada),500_1000m,31046.85714285714,29274.466666666667,-1772.390476190474,53048,0.1,False
5017,PG. LLUÍS COMPANYS - ALMOGÀVERS (Pujada),500_1000m,8221.166666666666,12216.0,3994.833333333334,28785,2.7,False
4086,JARDINS SALVADOR ESPRIU -DIAGONAL  (sentit Llobregat),500_1000m,11641.0,10222.347826086956,-1418.652173913044,56553,9.3,False
4054,LEPANT - DIPUTACIÓ  (sentit mar),500_1000m,18614.714285714286,18081.35,-533.3642857142877,29270,1.4,False
2001,PARÍS - VILADOMAT (sentit Besòs),500_1000m,9399.0,11521.91304347826,2122.91304347826,658,0.7,False
4096,ROSSELLÓ - ARIBAU (sentit Besòs),500_1000m,7768.142857142857,7560.541666666667,-207.6011904761899,1140,4.5,False
4039,ROSSELLÓ - BALMES (sentit Besòs),500_1000m,14054.857142857143,13764.375,-290.4821428571431,53038,0.9,False
5020,ALMOGÀVERS - ROGER DE FLOR  (sentit Llobregat),500_1000m,3798.857142857143,3744.7391304347834,-54.11801242236015,28782,2.4,False
4076,ARAGÓ - PADILLA (sentit Llobregat),500_1000m,41140.142857142855,33760.181818181816,-7379.961038961039,52919,5.2,True
3030,VILADOMAT - PARLAMENT  (sentit mar),500_1000m,7359.142857142857,10332.2,2973.057142857144,33654,1.3,False
4006,PARÍS - VILLARROEL,500_1000m,11630.285714285714,28201.041666666668,16570.755952380954,31924,0.7,False
5018,PG. LLUÍS COMPANYS - REC COMTAL (Baixada),500_1000m,14789.4,15855.0,1065.6000000000004,31002,0.6,False
6007,INDÚSTRIA - NÀPOLS  (sentit Besòs),1_2km,4229.0,3806.1666666666665,-422.8333333333335,46214,0.8,True
4094,VILLARROEL - PARÍS  (sentit mar),500_1000m,10887.57142857143,11060.583333333334,173.0119047619046,33355,2.3,False
4037,GRAN VIA - LEPANT (Besòs),500_1000m,36152.57142857143,38782.65217391304,2630.080745341613,38952,1.9,True
3029,RONDA DE SANT PAU - MARQUES DE CAMPO SAGRADO  (sentit muntanya),500_1000m,13699.0,12991.916666666666,-707.0833333333339,30151,0.2,False
4055,PADILLA - GRAN VIA  (sentit muntanya),500_1000m,11948.142857142857,17094.0,5145.857142857143,56121,1.0,False
4007,AV. DIAGONAL - RAMBLA CATALUNYA (Baixada),500_1000m,16851.0,16558.25,-292.75,30217,20.2,False
4003,ARIBAU - CÒRSEGA  (sentit muntanya),500_1000m,19737.0,22039.434782608696,2302.434782608696,32464,0.1,False
4011,CASANOVA - PARÍS  (sentit muntanya),500_1000m,16509.285714285714,14872.666666666666,-1636.6190476190477,714,0.1,False
4012,LONDRES - CASANOVA,1_2km,4394.6,4377.958333333333,-16.641666666667334,30558,3.2,False
3032,COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),1_2km,2914.8571428571427,3043.0,128.14285714285734,45610,0.2,False
6008,SANT ANTONI MARIA CLARET - SICÍLIA  (sentit Llobregat),1_2km,21402.33333333333,21970.13333333333,567.8000000000029,59798,0.6,False
4001,URGELL - BUENOS AIRES  (sentit mar),1_2km,9491.0,6040.826086956522,-3450.173913043478,60079,1.4,False
3007,GRAN VIA - FARELL (Sortida),1_2km,45696.28571428572,42433.17391304348,-3263.1118012422376,56606,18.5,True
4005,AV. DIAGONAL - RAMBLA CATALUNYA (Pujada),1_2km,11380.285714285714,12500.625,1120.3392857142862,30219,10.3,False
4089,BÀLMES - PARÍS (baixada),500_1000m,27766.166666666668,25285.875,-2480.291666666668,32466,1.6,False
4088,PARÍS - ARIBAU  (sentit Besòs),1_2km,12399.42857142857,10907.958333333334,-1491.4702380952367,31561,2.1,False
4087,MUNTANER - LONDRES  (sentit mar),1_2km,12639.142857142857,9160.625,-3478.517857142857,21564,1.8,False
5027,PG. PUJADES - WELLINGTON (Llobregat),1_2km,2132.0,2209.478260869565,77.47826086956502,61327,0.2,False
3027,AV. PARAL·LEL - COMTE BORRELL (Muntanya),1_2km,11445.0,10380.944444444443,-1064.0555555555547,43765,1.7,False
5026,PG. PUJADES - ROGER DE FLOR (Besós),1_2km,4824.0,3661.55,-1162.4499999999998,46678,0.5,False
2004,NUMÀNCIA - MARQUES DE SENTMENAT V (sentit mar),1_2km,23720.0,24701.09523809524,981.0952380952368,31357,0.3,False
4018,AV. MERIDIANA - LEPANT (Baixada),1_2km,4901.428571428572,5761.041666666667,859.6130952380954,40799,0.3,False
4056,CONSELL DE CENT - CASTILLEJOS,1_2km,7866.285714285715,8570.125,703.8392857142853,32122,2.6,False
1015,AV. SARRIÀ - AV. JOSEP TARRADELLAS,1_2km,36414.57142857143,25947.5,-10467.071428571428,29762,0.9,False
4014,AV. DIAGONAL - MUNTANER (Baixada),1_2km,10620.857142857143,10562.375,-58.48214285714312,53138,15.5,False
8039,VIA AUGUSTA - LA GRANADA DEL PENEDÉS (Baixada),1_2km,6499.142857142857,5995.285714285715,-503.8571428571422,37152,0.6,False
8038,VIA AUGUSTA - LUÍS ANTÚNEZ (Pujada),1_2km,5755.857142857143,4210.958333333333,-1544.89880952381,61044,0.4,False
2018,PG. SANT ANTONI - ALCOLEA (Besòs),1_2km,3570.2,4302.583333333333,732.3833333333332,13643,7.6,False
4093,ARIBAU - DIAGONAL  (sentit muntanya),1_2km,14914.285714285714,14936.083333333334,21.797619047620174,16354,0.5,False
3034,AV. PARAL·LEL - RONDA SANT PAU (Baixada),1_2km,13929.285714285714,17899.25,3969.9642857142862,21062,8.8,False
4036,BALMES - LA GRANADA (baixada),1_2km,28424.14285714286,26208.33333333333,-2215.8095238095266,30447,0.2,False
3011,GRAN VIA - TRAJÀ (Entrada),1_2km,39323.0,37067.782608695656,-2255.2173913043443,56598,0.2,True
3036,AV. PARAL·LEL - ABAT SAFONT (Pujada),1_2km,22014.42857142857,19335.130434782608,-2679.2981366459644,21062,7.3,False
8001,TRAVESSERA DE GRÀCIA - BALMES,1_2km,16401.6,11688.42857142857,-4713.171428571428,45879,0.7,False
2002,ENTENÇA - DEU I MATA  (sentit muntanya),1_2km,21646.42857142857,23501.5,1855.0714285714275,51952,0.9,False
3008,GRAN VIA - MOIANÈS (Sortida),1_2km,34576.57142857143,34739.34782608696,162.77639751553215,36893,1.2,True
1002,AV. DIAGONAL - AV. SARRIÀ (Entrada),1_2km,15584.42857142857,14341.0,-1243.4285714285706,7393,5.3,False
4085,VALÈNCIA - DOS DE MAIG  (sentit Besòs),1_2km,13226.857142857143,12733.181818181818,-493.6753246753251,49256,1.0,True
1005,AV. DIAGONAL - BEETHOVEN (Sortida),1_2km,13290.57142857143,20064.416666666668,6773.845238095239,7393,5.0,False
6022,CÒRSEGA - CARTAGENA  (sentit Llobregat),1_2km,9401.2,8284.78947368421,-1116.4105263157908,3028,2.5,False
4057,ARAGÓ - INDEPENDÈNCIA (sentit Llobregat),1_2km,37049.16666666666,34584.857142857145,-2464.3095238095198,49807,2.3,True
6023,ROSSELLÓ - CASTILLEJOS (sentit Besòs),1_2km,20444.571428571428,16546.916666666668,-3897.65476190476,44868,0.8,False
8027,GRAN DE GRÀCIA - RAMBLA DEL PRAT (sentit muntanya),1_2km,10756.42857142857,10244.708333333334,-511.7202380952367,51819,2.2,False
8018,MUNTANER - AVENIR (sentit mar),1_2km,13818.857142857143,12617.0,-1201.8571428571431,2625,0.6,False
5016,AV. MARQUÉS DE L'ARGENTERA - COMERÇ (Besós),1_2km,12212.42857142857,17546.85714285714,5334.428571428571,61412,4.8,False
5015,AV. MARQUÉS DE L'ARGENTERA - COMERÇ (Llobregat),1_2km,2481.1428571428573,3485.8571428571427,1004.7142857142852,57900,1.0,False
2011,TRAVESSERA DE LES CORTS - VILAMUR (Llobregat),1_2km,14382.166666666666,15870.52380952381,1488.3571428571431,59049,0.2,False
5002,VIA LAIETANA - MANRESA (Baixada),1_2km,16827.85714285714,10930.375,-5897.482142857141,31033,0.8,False
7007,AV. MERIDIANA - CONSELL DE CENT (Entrada),1_2km,1604.142857142857,1585.3333333333333,-18.809523809523853,49595,3.3,False
6011,LEPANT - LLORENS I BARBA  (sentit mar),control_gt2km,27462.285714285717,26776.066666666666,-686.2190476190481,1252,0.9,False
9004,LLULL- MARINA (sentit Besòs),1_2km,3651.285714285714,3456.913043478261,-194.37267080745323,43678,0.7,False
7017,AV. MERIDIANA - CLOT (Sortida),1_2km,5272.285714285715,3323.875,-1948.410714285715,34150,2.3,False
2027,C. DE SANTS - SANT MEDIR (Sentit Pl. Espanya),1_2km,6043.714285714285,5219.958333333333,-823.7559523809523,37485,3.6,False
2022,TRAV. DE LES CORTS - GALILEU (Besòs),1_2km,3295.285714285714,2964.375,-330.9107142857142,46144,5.0,False
2013,NUMÀNCIA - ANGLESOLA  (sentit mar),1_2km,29737.0,21836.555555555555,-7900.444444444445,59012,1.3,False
6012,PADILLA - ROSALIA DE CASTRO  (sentit muntanya),control_gt2km,17754.0,15599.083333333334,-2154.916666666666,59704,0.4,False
2023,TRAV. DE LES CORTS - GALILEU (Llobregat),1_2km,12231.57142857143,10760.291666666666,-1471.2797619047633,45778,1.3,False
