gravity_beta,primary,gravity_k,pre_corr,pre_mape,pre_rmse,furness_success,LTR,NR,NVTR,sim_delta_q_on_immediate,sim_delta_q_250_500m,sim_sign_250_500m_positive,obs_delta_q_250_500m
1.0,False,0.004298317198078138,0.607,0.682,11238.2,False,39351.28933986759,44924.259800899235,-5572.970461031648,-737.1302514619514,2407.9680537329186,True,-758.3615544880888
2.0,True,17.135437158777588,0.59,0.694,11421.3,False,39596.6332959244,46905.51070378623,-7308.87740786183,-354.2219700763992,1699.6479678810945,True,-758.3615544880888
3.0,False,10432.479858875346,0.539,0.72,12306.0,False,42116.98219967792,51434.97224298091,-9317.99004330299,-353.73778914595005,1452.4933498203247,True,-758.3615544880888
