spec,pre_corr,pre_mape,pre_rmse,optimizer_success,optimizer_nit,sim_delta_q_250_500m,sim_sign_250_500m_positive,sim_delta_q_on_immediate,LTR,NR,NVTR,obs_delta_q_250_500m,lambda,maxiter,factor_a_min,factor_a_max,factor_g_min,factor_g_max
gravity_scale_only,0.156,1.558,20217.6,,,2013.6101289124535,True,-1718.1753195485812,46029.70848053419,54817.37819327186,-8787.669712737676,-758.3615544880888,,,,,,
gls_lambda_5e3_maxiter_25,0.59,0.693,11431.7,False,25.0,1739.2866159613743,True,-374.5272352815034,39749.12806696914,46944.66958481242,-7195.541517843281,-758.3615544880888,5000.0,25.0,-4.427626808989728,2.8178669452769123,-3.4461200581495794,1.94682029561727
gls_lambda_5e4_maxiter_25_primary,0.59,0.694,11421.3,False,25.0,1699.6479678810945,True,-354.2219700763992,39596.6332959244,46905.51070378623,-7308.87740786183,-758.3615544880888,50000.0,25.0,-4.449094867005477,2.818316278230473,-3.500243497552815,1.943963948219372
gls_lambda_5e5_maxiter_25,0.582,0.694,11438.8,False,25.0,1809.8204310980327,True,-363.0941534687827,39535.94804208193,46468.96101272172,-6933.012970639786,-758.3615544880888,500000.0,25.0,-4.413728477658998,2.7805722839142586,-3.3366656958117087,1.94824604781842
gls_lambda_5e4_maxiter_80,0.624,0.656,11080.8,False,80.0,1282.8409901932305,True,-732.2436121726864,31516.925063012608,36400.238667680096,-4883.313604667488,-758.3615544880888,50000.0,80.0,-5.126916802133962,3.1725033345697504,-6.55616487023201,1.6471081859234251
junction_delay_80m_same_OD,0.457,0.986,16365.6,,,0.0,False,0.0,-0.0,0.0,-0.0,-758.3615544880888,,,,,,
