ring_m,ring_label,vkt_pre,vkt_fixed,delta_vkt_fixed
40,0-40 m,84023.01266951059,44426.379373586184,-39596.6332959244
250,40-250 m,517834.8695089248,534374.14344624,16539.273937315174
500,250-500 m,619581.2568782734,645503.1232689021,25921.86639062869
1000,500-1000 m,1136477.7599179705,1140360.4094517387,3882.649533768101
2000,1000-2000 m,2554059.174206958,2554620.8950490328,561.7208420742684
3500,2000-3500 m,1966068.9615676103,1966068.9615676103,0.0
