seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,node_x,node_y,snap_m,snapped,egress_connector
1046,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431506.4949270449,4581632.108989717,1217.3120739365058,1834.0,431483.7,4581612.9,29.8,True,False
1047,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431321.0294111792,4581864.421155228,925.46354638972,1744.0,431373.1,4581814.5,72.1,True,False
1048,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431443.8668554011,4581990.416581013,881.8217617181681,2105.0,431416.5,4582021.3,41.3,True,False
1049,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431233.6647810888,4582020.03754916,747.3652324385436,1476.0,431265.9,4581980.6,50.9,True,False
1050,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431141.7258880728,4582078.840686461,657.5510541101671,1569.0,431098.5,4582125.7,63.8,True,False
1051,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431284.7312299071,4582219.351890456,603.2699288161522,1769.0,431274.2,4582276.5,58.1,True,False
1052,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431159.7296505914,4582267.583636728,493.4369622403361,2511.0,431128.8,4582293.5,40.4,True,False
1053,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431445.8496028289,4582229.871943877,706.4663679092259,1873.0,431446.4,4582219.6,10.3,True,False
1054,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431544.17012753006,4582141.701845812,838.5244369217697,1219.0,431580.3,4582145.8,36.4,True,False
1055,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431627.40512533416,4582354.018588233,790.2185968059839,1281.0,431599.4,4582325.4,40.0,True,False
2001,5,el Fort Pienc,Eixample,431711.9247585261,4582788.575849686,802.2116510418226,1339.0,431633.3,4582715.4,107.4,True,False
2002,5,el Fort Pienc,Eixample,431513.2867800745,4582859.7763558505,603.3363221895833,3665.0,431536.9,4582832.2,36.3,True,False
2003,5,el Fort Pienc,Eixample,431704.5917852472,4583045.899108369,710.458387235548,1167.0,431730.1,4583019.0,37.1,True,False
2004,5,el Fort Pienc,Eixample,431563.3645494582,4583095.670613094,562.3855215788152,1492.0,431629.2,4583066.1,72.2,True,False
2005,5,el Fort Pienc,Eixample,431419.8929006075,4582955.484081382,473.5867335222137,2045.0,431444.3,4582927.7,37.0,True,False
2006,5,el Fort Pienc,Eixample,431322.4068483696,4582767.511778739,413.5585868362435,1666.0,431315.0,4582761.0,9.9,True,False
2007,5,el Fort Pienc,Eixample,431232.0507041976,4582965.623710752,317.15092748387804,1254.0,431224.6,4582963.5,7.7,True,False
2008,5,el Fort Pienc,Eixample,431416.49844638,4583150.422702855,409.3793036591584,1940.0,431440.9,4583127.3,33.6,True,False
2009,5,el Fort Pienc,Eixample,431606.7223397392,4583242.055671166,599.7194060376253,1790.0,431583.1,4583207.9,41.5,True,False
2010,5,el Fort Pienc,Eixample,431658.92201116745,4583388.310750612,678.9897246105688,1211.0,431652.7,4583456.6,68.6,True,False
2011,5,el Fort Pienc,Eixample,431757.92110728816,4583285.58648372,754.6818772804316,1097.0,431723.5,4583316.8,46.5,True,False
2012,5,el Fort Pienc,Eixample,431912.4573860064,4583117.080619802,906.3373233836984,1568.0,431872.1,4583115.4,40.4,True,False
2013,5,el Fort Pienc,Eixample,431900.13211833633,4583467.688923978,932.8743694637318,1137.0,431854.0,4583481.5,48.2,True,False
2014,5,el Fort Pienc,Eixample,431778.51555341855,4583707.887878874,926.73111292635,1362.0,431787.5,4583727.5,21.6,True,False
2015,5,el Fort Pienc,Eixample,431622.3399456243,4583617.014681702,746.5063210374385,1574.0,431579.8,4583618.0,42.6,True,False
2016,5,el Fort Pienc,Eixample,431460.4485896352,4583400.2570755,497.3416413194369,1852.0,431487.8,4583351.0,56.3,True,False
2017,5,el Fort Pienc,Eixample,431218.0300130378,4583257.802501072,219.21921769757523,1980.0,431184.7,4583231.8,42.3,True,False
2018,5,el Fort Pienc,Eixample,431040.6674099213,4583434.388588256,245.17831895362383,1833.0,431030.7,4583460.3,27.8,True,False
2019,5,el Fort Pienc,Eixample,431207.92930801393,4583455.904195397,330.9907692048279,1990.0,431185.6,4583424.8,38.3,True,False
2020,5,el Fort Pienc,Eixample,431377.89446406224,4583555.734320374,518.4778521973701,1483.0,431380.2,4583571.3,15.7,True,False
2021,6,la Sagrada Família,Eixample,431584.0053870805,4583793.902950096,832.8544983852954,1470.0,431572.4,4583799.5,12.9,True,False
2022,6,la Sagrada Família,Eixample,431778.8205711405,4583949.612828894,1080.5104011083615,1309.0,431761.2,4583983.0,37.8,True,False
2023,6,la Sagrada Família,Eixample,431647.0122557338,4583967.856653471,1004.9799176185109,1069.0,431623.4,4584003.8,43.0,True,False
2024,6,la Sagrada Família,Eixample,431391.1203396463,4583747.516905527,674.7848049538095,1108.0,431402.4,4583758.4,15.7,True,False
2025,6,la Sagrada Família,Eixample,431459.9512055517,4583972.688328282,902.1472462570248,1117.0,431414.4,4584022.0,67.1,True,False
2026,6,la Sagrada Família,Eixample,431321.3076404135,4583931.022525588,802.9382872638929,2068.0,431347.1,4583957.0,36.6,True,False
2027,6,la Sagrada Família,Eixample,431228.7159131439,4584120.096353896,954.449130406462,2114.0,431203.2,4584145.5,36.0,True,False
2028,6,la Sagrada Família,Eixample,431414.1670065592,4584114.133644941,1007.8481200596716,2032.0,431440.8,4584085.5,39.1,True,False
2029,6,la Sagrada Família,Eixample,431553.728511957,4584063.486859105,1028.2822675531788,1213.0,431616.0,4584031.7,69.9,True,False
2030,6,la Sagrada Família,Eixample,431649.1350816712,4584156.013699004,1157.7352381523294,1370.0,431692.0,4584105.0,66.6,True,False
2031,6,la Sagrada Família,Eixample,431555.3630208993,4584251.623500406,1192.7886065181533,1036.0,431505.1,4584295.4,66.7,True,False
2032,6,la Sagrada Família,Eixample,431415.9424575142,4584301.567018811,1182.4936856475333,1157.0,431405.3,4584308.9,12.9,True,False
2033,6,la Sagrada Família,Eixample,431274.0410594524,4584351.583193462,1190.1895089746652,1157.0,431308.0,4584407.9,65.8,True,False
2034,6,la Sagrada Família,Eixample,431180.85454877233,4584261.736236046,1084.174546741864,1193.0,431132.2,4584219.1,64.7,True,False
2035,6,la Sagrada Família,Eixample,431087.79488757753,4584171.10198902,983.0089928454228,1279.0,431132.2,4584219.1,65.4,True,False
2036,6,la Sagrada Família,Eixample,431066.3687255111,4584328.791798513,1138.9862148595105,1198.0,431037.7,4584325.6,28.8,True,False
2037,6,la Sagrada Família,Eixample,431179.64402455016,4584448.692957111,1268.9542001675727,1201.0,431125.8,4584411.0,65.7,True,False
2038,6,la Sagrada Família,Eixample,431275.3537806132,4584538.532942101,1373.3349739051866,1525.0,431322.5,4584583.7,65.3,True,False
2039,6,la Sagrada Família,Eixample,431065.842173693,4584514.121932703,1324.0924948690383,1756.0,431064.0,4584472.6,41.6,True,False
2040,6,la Sagrada Família,Eixample,431066.945000922,4584701.862802528,1511.7243781874568,1671.0,431053.3,4584720.6,23.2,True,False
2041,6,la Sagrada Família,Eixample,430921.4001943557,4584579.684675196,1391.2121543751216,1631.0,430950.8,4584591.3,31.6,True,False
2042,6,la Sagrada Família,Eixample,430762.8416497871,4584414.45392379,1238.6872412969346,1603.0,430760.9,4584413.1,2.4,True,False
2043,6,la Sagrada Família,Eixample,430616.1587034229,4584271.226576796,1062.4837306760564,1461.0,430670.6,4584322.9,75.1,True,False
2044,6,la Sagrada Família,Eixample,430708.4410772073,4584176.09404819,995.179900192727,1300.0,430663.4,4584113.8,76.9,True,False
2045,6,la Sagrada Família,Eixample,430808.4638328354,4584273.646939375,1100.8526011940994,1166.0,430854.2,4584317.0,63.0,True,False
2046,6,la Sagrada Família,Eixample,430921.264447043,4584394.305686571,1206.268933387561,1919.0,430940.7,4584414.4,28.0,True,False
2047,6,la Sagrada Família,Eixample,430922.0194010392,4584209.609755304,1022.087917282704,1967.0,430919.8,4584250.4,40.9,True,False
2048,6,la Sagrada Família,Eixample,430801.3503169532,4584080.257844222,912.979494537428,1285.0,430722.2,4584092.3,80.1,True,False
2049,6,la Sagrada Família,Eixample,430988.338122288,4583980.655933811,789.6872195000648,2035.0,430988.7,4583997.6,16.9,True,False
2050,6,la Sagrada Família,Eixample,431229.6106591801,4583841.261614998,686.3837310316059,1610.0,431243.9,4583856.1,20.6,True,False
2051,6,la Sagrada Família,Eixample,431128.95903988,4583743.525424222,565.1261351642796,1857.0,431112.8,4583733.7,18.9,True,False
