station_id,desc,lon,lat,dist_m_nearest_axis,nearest_axis,dist_m_that_axis,distance_bin,years_with_counts,n_years_with_counts,distance_metric
4071,AV. ROMA - VILLARROEL  (sentit Llobregat),2.15551161492165,41.3857379536589,157.6,consell_de_cent,157.6,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4049,MALLORCA - BRUC,2.16605647059014,41.3964310585901,159.6,girona,159.6,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2006,ARAGÓ - ENTENÇA (sentit Llobregat),2.14793621,41.381069189,161.1,rocafort,161.1,0_250m,"2017,2018,2019,2020,2021,2022,2023",7,euclidean_utm31n_interim
4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),2.16298401194208,41.3907020230178,172.3,consell_de_cent,172.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3012,SEPÚLVEDA - COMTE BORRELL  (sentit Llobregat),2.15830635936938,41.3800228406693,184.4,borrell,184.4,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4084,NÀPOLS - DIPUTACIÓ  (sentit mar),2.17693989634649,41.397254200157,187.3,consell_de_cent,187.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4077,ARAGÓ - NÀPOLS (sentit Llobregat),2.17395160686523,41.3989680268534,195.5,consell_de_cent,195.5,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3003,GRAN VIA - VILAMARÍ  (sentit Besòs),2.15225172788928,41.3773556078136,196.8,rocafort,196.8,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4090,ARIBAU - ARAGÓ  (sentit muntanya),2.15924172322705,41.3884915607715,223.6,consell_de_cent,223.6,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4010,PG. SANT JOAN - VALÈNCIA (Baixada),2.17128708260538,41.3980800150532,225.8,consell_de_cent,225.8,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4028,VALÈNCIA - CASANOVA,2.1569036942764,41.3878538166451,236.3,consell_de_cent,236.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4035,GRAN VIA - PL. UNIVERSITAT  (sentit Besòs),2.16441727131043,41.3865364803669,237.3,consell_de_cent,237.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3033,SEPULVEDA - ENTENÇA  (sentit Llobregat),2.15355004884416,41.3764072022776,239.3,rocafort,239.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
