seccio,codi_districte,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop
2006,2,5,el Fort Pienc,Eixample,431322.4068483696,4582767.511778739,413.5585868362435,1666
2007,2,5,el Fort Pienc,Eixample,431232.0507041976,4582965.623710752,317.15092748387804,1254
2008,2,5,el Fort Pienc,Eixample,431416.49844638,4583150.4227028545,409.37930365915844,1940
2009,2,5,el Fort Pienc,Eixample,431606.72233973915,4583242.055671166,599.7194060376253,1790
2010,2,5,el Fort Pienc,Eixample,431658.92201116745,4583388.310750612,678.9897246105688,1211
2011,2,5,el Fort Pienc,Eixample,431757.92110728816,4583285.58648372,754.6818772804316,1097
2012,2,5,el Fort Pienc,Eixample,431912.4573860064,4583117.080619802,906.3373233836984,1568
2013,2,5,el Fort Pienc,Eixample,431900.13211833633,4583467.688923978,932.8743694637318,1137
2014,2,5,el Fort Pienc,Eixample,431778.51555341855,4583707.887878874,926.7311129263501,1362
2015,2,5,el Fort Pienc,Eixample,431622.3399456243,4583617.014681702,746.5063210374385,1574
2016,2,5,el Fort Pienc,Eixample,431460.44858963514,4583400.2570755,497.3416413194369,1852
2017,2,5,el Fort Pienc,Eixample,431218.0300130378,4583257.802501072,219.21921769757523,1980
2018,2,5,el Fort Pienc,Eixample,431040.6674099213,4583434.388588256,245.17831895362386,1833
2019,2,5,el Fort Pienc,Eixample,431207.92930801393,4583455.904195397,330.9907692048279,1990
2020,2,5,el Fort Pienc,Eixample,431377.89446406224,4583555.734320374,518.4778521973701,1483
2021,2,6,la Sagrada Família,Eixample,431584.0053870805,4583793.902950096,832.8544983852954,1470
2022,2,6,la Sagrada Família,Eixample,431778.8205711405,4583949.612828894,1080.5104011083615,1309
2023,2,6,la Sagrada Família,Eixample,431647.01225573383,4583967.856653471,1004.9799176185109,1069
2024,2,6,la Sagrada Família,Eixample,431391.1203396463,4583747.516905527,674.7848049538095,1108
2025,2,6,la Sagrada Família,Eixample,431459.9512055517,4583972.688328282,902.1472462570247,1117
2026,2,6,la Sagrada Família,Eixample,431321.30764041346,4583931.022525588,802.9382872638929,2068
2027,2,6,la Sagrada Família,Eixample,431228.7159131439,4584120.096353896,954.4491304064621,2114
2028,2,6,la Sagrada Família,Eixample,431414.16700655915,4584114.133644941,1007.8481200596715,2032
2029,2,6,la Sagrada Família,Eixample,431553.72851195704,4584063.486859105,1028.2822675531788,1213
2030,2,6,la Sagrada Família,Eixample,431649.1350816712,4584156.0136990035,1157.7352381523294,1370
2031,2,6,la Sagrada Família,Eixample,431555.3630208993,4584251.623500406,1192.7886065181533,1036
2032,2,6,la Sagrada Família,Eixample,431415.9424575142,4584301.567018811,1182.4936856475333,1157
2033,2,6,la Sagrada Família,Eixample,431274.0410594524,4584351.583193462,1190.1895089746652,1157
2034,2,6,la Sagrada Família,Eixample,431180.85454877233,4584261.736236046,1084.1745467418639,1193
2035,2,6,la Sagrada Família,Eixample,431087.79488757753,4584171.10198902,983.0089928454228,1279
