seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,snap_m,snapped,d_axis_net_m,egress_connector,A_car15_pre,A_car15_post,dA_car15,pct_car15,A_car15_drop,dA_car15_drop,pct_car15_drop,A_car15_turn_pre,A_car15_turn_post,pct_car15_turn,A_car30_pre,A_car30_post,dA_car30,pct_car30,H_car_pre,H_car_post,dH_car,pct_H,n_car15_pre,n_car15_post,n_car30_pre,n_car30_post,A_walk15,n_walk15,band_net,band_euclid
1013,1,el Raval,Ciutat Vella,430252.78015254514,4581286.607229438,740.3311383104198,1433.0,46.7,True,889.1764944188004,0.0,1534405.0,1534405.0,0.0,0.0,1532729.0,-1676.0,-0.10922800694731834,1305478.0,1305478.0,0.0,1606885.0,1606885.0,0.0,0.0,1006449.8411936498,1006183.6507196376,-266.1904740121681,-0.026448459040588266,1007.0,1001.0,1051.0,1050.0,108422.0,58.0,500m-1km,500m-1km
1014,1,el Raval,Ciutat Vella,430300.7917719471,4581381.2552058,773.4049092177901,1984.0,20.8,True,921.763693641983,0.0,1564423.0,1564423.0,0.0,0.0,1562747.0,-1676.0,-0.10713215031995822,1387488.0,1387488.0,0.0,1606885.0,1606885.0,0.0,0.0,1029384.210369464,1029110.5895665437,-273.6208029203117,-0.02658101806536399,1026.0,1020.0,1051.0,1050.0,112253.0,60.0,500m-1km,500m-1km
1015,1,el Raval,Ciutat Vella,430120.7858716635,4581393.308650152,593.0416020616796,2231.0,35.3,True,815.6389621658066,0.0,1478629.0,1478629.0,0.0,0.0,1476953.0,-1676.0,-0.1133482435418215,1167874.0,1167874.0,0.0,1606885.0,1606885.0,0.0,0.0,965249.9555374758,964994.7150542351,-255.24048324069008,-0.02644294172472307,965.0,957.0,1051.0,1050.0,120237.0,66.0,500m-1km,500m-1km
1016,1,el Raval,Ciutat Vella,430125.95503816416,4581595.500737373,518.2432034844659,2064.0,2.8,True,632.9874024385228,0.0,1593522.0,1593522.0,0.0,0.0,1591846.0,-1676.0,-0.10517583064432119,1565246.0,1565246.0,0.0,1606885.0,1606885.0,0.0,0.0,1152346.7846822285,1152038.60915058,-308.1755316485651,-0.026743297742054938,1043.0,1039.0,1051.0,1051.0,106723.0,59.0,500m-1km,500m-1km
1017,1,el Raval,Ciutat Vella,430225.8649741459,4581481.741300184,669.5430500893633,2520.0,21.8,True,774.1175161379416,0.0,1554342.0,1554342.0,0.0,0.0,1552666.0,-1676.0,-0.10782697758923068,1347089.0,1347089.0,0.0,1606885.0,1606885.0,0.0,0.0,1021507.3839073633,1021236.309082944,-271.07482441933826,-0.026536746448415395,1020.0,1014.0,1051.0,1050.0,104668.0,56.0,500m-1km,500m-1km
1018,1,el Raval,Ciutat Vella,430342.5837420301,4581565.990135246,692.0887531822223,1522.0,55.5,True,732.1862934339139,0.0,1562553.0,1562553.0,0.0,0.0,1560877.0,-1676.0,-0.10726036172853017,1357771.0,1357771.0,0.0,1608407.0,1608407.0,0.0,0.0,1028358.4992537448,1028085.6203543303,-272.87889941455796,-0.026535386211382475,1025.0,1019.0,1052.0,1051.0,89310.0,46.0,500m-1km,500m-1km
1019,1,el Raval,Ciutat Vella,430626.027107289,4581415.3574799895,998.9727136700184,2845.0,37.2,True,1173.5925423226176,0.0,2845.0,2845.0,0.0,0.0,2845.0,0.0,0.0,2845.0,2845.0,0.0,2845.0,2845.0,0.0,0.0,2845.0,2845.0,0.0,0.0,1.0,1.0,1.0,1.0,87190.0,41.0,1-2km,500m-1km
1020,1,el Raval,Ciutat Vella,430520.7806557998,4581652.109321257,757.0898871327424,2216.0,69.7,True,1116.1433201846487,0.0,2216.0,2216.0,0.0,0.0,2216.0,0.0,0.0,2216.0,2216.0,0.0,2216.0,2216.0,0.0,0.0,2216.0,2216.0,0.0,0.0,1.0,1.0,1.0,1.0,93531.0,45.0,1-2km,500m-1km
1021,1,el Raval,Ciutat Vella,430341.42104544624,4581820.474882717,511.2155781844389,2085.0,26.2,True,583.2967008719552,0.0,1588268.0,1588268.0,0.0,0.0,1586592.0,-1676.0,-0.10552375291827323,1521330.0,1521330.0,0.0,1606885.0,1606885.0,0.0,0.0,1114739.7540231291,1114442.0271178503,-297.7269052788615,-0.02670819841172401,1040.0,1035.0,1051.0,1050.0,88925.0,48.0,500m-1km,500m-1km
1022,2,el Barri Gòtic,Ciutat Vella,430772.8767273828,4581818.327841457,817.6441202055082,1606.0,33.6,True,878.0769070373807,0.0,1593603.0,1593603.0,0.0,0.0,1591927.0,-1676.0,-0.10517048474431838,1575047.0,1575047.0,0.0,1606885.0,1606885.0,0.0,0.0,1153640.6186384808,1153355.6013253313,-285.01731314952485,-0.024705901347847864,1043.0,1039.0,1051.0,1051.0,87551.0,43.0,500m-1km,500m-1km
