spec,bin,label,n_stations,q_pre_mean,q_post_mean,delta_q_mean,did_q_vs_control,did_q_se,did_log_vs_control,did_log_se,did_over_pre_pct
drop_gran_via,control_gt2km,>2 km (control),190,12784.7,10889.7,-1895.0,0.0,263.4,0.0,0.0222,0.0
drop_gran_via,on_or_immediate,on / immediate (<=40 m),6,15860.0,12526.8,-3333.2,-1438.2,2460.7,0.0016,0.1239,-9.07
drop_gran_via,0_250m,0-250 m,20,27532.3,19509.2,-8023.1,-6128.1,2532.0,-0.0507,0.0591,-22.26
drop_gran_via,250_500m,250-500 m,33,17937.8,14733.1,-3204.7,-1309.7,859.4,-0.0053,0.0525,-7.3
drop_gran_via,500_1000m,500 m-1 km,42,17061.0,14461.6,-2599.4,-704.4,872.9,0.0354,0.0462,-4.13
drop_gran_via,1_2km,1-2 km,63,15280.0,11686.8,-3593.1,-1698.2,700.4,-0.0995,0.0458,-11.11
