spec,bin,label,n_stations,q_pre_mean,q_post_mean,delta_q_mean,did_q_vs_control,did_q_se,did_log_vs_control,did_log_se,did_over_pre_pct
incremental_2022h1_vs_2024_25_h1,control_gt2km,>2 km (control),180,11360.0,11022.1,-338.0,0.0,145.8,0.0,0.0113,0.0
incremental_2022h1_vs_2024_25_h1,on_or_immediate,on / immediate (<=40 m),8,20965.8,20926.6,-39.2,298.8,706.8,0.0394,0.0509,1.43
incremental_2022h1_vs_2024_25_h1,0_250m,0-250 m,20,24079.9,22483.5,-1596.4,-1258.4,618.0,-0.0175,0.038,-5.23
incremental_2022h1_vs_2024_25_h1,250_500m,250-500 m,29,19873.3,19520.4,-352.9,-14.9,478.8,0.0099,0.0346,-0.07
incremental_2022h1_vs_2024_25_h1,500_1000m,500 m-1 km,40,15398.4,15748.2,349.8,687.7,570.0,0.0571,0.0325,4.47
incremental_2022h1_vs_2024_25_h1,1_2km,1-2 km,62,14823.6,14252.8,-570.7,-232.8,539.6,-0.0214,0.0344,-1.57
