intervention_id,intervention_name,id_priority,match_role,station_id,station_desc,n_lanes,lon,lat,n_years,years,n_pre,n_post,has_pre_post,pre_years,post_years
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4077,ARAGÓ - NÀPOLS (sentit Llobregat),5,2.17395160686523,41.3989680268534,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4079,ARAGÓ - BAILÈN (sentit Llobregat),5,2.17055853655275,41.3964247174287,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,cross_street,4090,ARIBAU - ARAGÓ  (sentit muntanya),4,2.15924172322705,41.3884915607715,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,cross_street,4095,VILLARROEL - ARAGÓ  (sentit mar),3,2.1569179201233,41.3850904392878,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,cross_street,4098,PG. GRÀCIA - ARAGÓ (Baixada),2,2.16520071322411,41.3917338254457,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,10001,ARAGÓ - NAVAS (Llobregat),2,2.19073536914761,41.4116798138391,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,10005,ARAGÓ - BILBAO (Besòs),2,2.19188571810162,41.4122858738082,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4104,ARAGÓ - COMTE D'URGELL (sentit Llobregat),3,2.154269038,41.38422424,4,"2022,2023,2024,2025",0,1,0,,2022
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4109,ARAGÓ - MARINA (sentit Llobregat),6,2.17747765111273,41.4017230342086,2,"2024,2025",0,0,0,,
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,2014,TARRAGONA - CONSELL DE CENT (calçada Besòs),4,2.14733648474262,41.3770104507661,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4002,MUNTANER - CONSELL DE CENT  (sentit mar),4,2.15999405057183,41.3861943064478,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4013,SARDENYA - CONSELL DE CENT  (sentit mar),2,2.17812842998448,41.3997627169729,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,on_street,4056,CONSELL DE CENT - CASTILLEJOS,2,2.1830778515996,41.4040640465821,7,"2017,2018,2019,2020,2021,2022,2025",2,2,1,"2018,2019","2021,2022"
