did_bin,n,obs_delta_q,sim_fixed_delta_q,residual_obs_minus_sim
on_or_immediate,8,-467.7,658.4,-1126.1
0_250m,20,-1988.6,-574.5,-1414.1
250_500m,33,-758.4,3624.1,-4382.4
500_1000m,40,128.3,-188.8,317.1
1_2km,66,-725.9,206.1,-932.0
control_gt2km,130,-639.7,-1.1,-638.6
