ring_m,ring_label,vkt_pre,vkt_fixed,delta_vkt_fixed
40,0-40 m,54474.11123959768,46393.82730920652,-8080.283930391159
250,40-250 m,539303.8525779088,516309.07705113955,-22994.775526769183
500,250-500 m,584685.4972994286,617389.3947810077,32703.89748157908
1000,500-1000 m,976796.8806471261,978626.5964611503,1829.7158140242254
2000,1000-2000 m,2538439.659788853,2542609.9857855965,4170.325996743537
3500,2000-3500 m,2080136.0018800758,2080152.026190035,16.024309959233065
