station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other
4027,MUNTANER - MALLORCA  (sentit mar),250_500m,19132.0,14804.869565217392,-4327.130434782608,43016,2.5,False
2005,ENTENÇA - PROVENÇA  (sentit muntanya),250_500m,14695.285714285714,13690.833333333334,-1004.4523809523798,55018,0.6,False
2003,TARRAGONA - VALÈNCIA  (sentit mar),250_500m,8888.0,8512.095238095239,-375.9047619047615,51946,2.8,False
4008,MALLORCA - CASANOVA  (sentit Llobregat),250_500m,24596.85714285714,13383.111111111111,-11213.74603174603,47396,2.7,False
3015,CASANOVA - SEPÚLVEDA  (sentit muntanya),250_500m,5281.333333333333,5407.733333333334,126.40000000000056,42030,0.3,False
3014,SEPÚLVEDA - CASANOVA  (sentit Llobregat),250_500m,17571.5,19828.636363636364,2257.136363636364,5194,0.1,False
4044,PAU CLARIS - PROVENÇA  (sentit mar),250_500m,18347.85714285714,16477.25,-1870.6071428571413,51297,0.8,True
4013,SARDENYA - CONSELL DE CENT  (sentit mar),250_500m,7456.666666666667,6312.105263157895,-1144.561403508772,40295,1.7,False
5011,RONDA UNIVERSITAT - PL. CATALUNYA  (sentit Llobregat),250_500m,24209.571428571428,23030.727272727272,-1178.8441558441557,6296,1.7,True
3020,AV. PARAL·LEL - LLEIDA (Baixada),500_1000m,10783.714285714286,12382.666666666666,1598.9523809523798,44834,15.7,False
4091,PAU CLARIS - CASP (sentit mar),250_500m,15073.57142857143,9879.75,-5193.821428571429,49150,0.2,True
3024,ROCAFORT - TAMARIT (mar),250_500m,4450.857142857143,3310.7916666666665,-1140.0654761904766,51922,3.0,False
3026,AV. PARAL·LEL - ENTENÇA (Mar),500_1000m,13376.333333333334,12648.91304347826,-727.4202898550739,33591,0.2,False
4069,MALLORCA - BALMES  (sentit Llobregat),250_500m,15692.714285714286,15978.25,285.53571428571377,54912,3.1,False
4070,PELAI - RONDA UNIVERSITAT  (sentit Besòs),500_1000m,8124.0,8596.458333333334,472.45833333333394,37806,4.2,True
5019,TRAFALGAR - MENDEZ NÚÑEZ  (sentit Besòs),250_500m,4600.285714285715,8157.888888888889,3557.603174603174,54528,0.6,False
3022,CREU COBERTA - PL. ESPANYA (Pujada),500_1000m,7225.857142857143,7134.95,-90.9071428571433,33296,2.0,False
3021,CREU COBERTA - BÉJAR (Baixada),500_1000m,6847.142857142857,6375.875,-471.2678571428569,33296,5.9,False
4099,BALMES - MALLORCA (baixada),250_500m,31958.14285714286,29048.625,-2909.5178571428587,54909,0.6,False
6026,PG. SANT JOAN - INDÚSTRIA (Baixada),500_1000m,9964.0,9173.875,-790.125,51706,1.1,False
4019,MARINA - DIPUTACIÓ (pujada),500_1000m,32338.285714285717,27500.272727272728,-4838.012987012986,29318,2.2,False
4032,VALÈNCIA - SARDENYA  (sentit Besòs),500_1000m,15365.6,15073.136363636364,-292.4636363636364,50660,2.6,True
4081,ROSSELLÓ - PG. DE GRÀCIA (sentit Besòs),500_1000m,9209.0,8684.916666666666,-524.0833333333339,43503,1.6,False
4050,PASSEIG DE GRÀCIA - PROVENÇA (Pujada),500_1000m,13082.714285714286,13745.217391304348,662.5031055900618,53378,5.6,False
4045,PASSEIG DE GRÀCIA - ROSSELLÓ (Baixada),500_1000m,5114.142857142857,4645.166666666667,-468.9761904761899,53378,3.8,False
4041,PROVENÇA - BALMES  (sentit Llobregat),500_1000m,8702.142857142857,8124.347826086957,-577.7950310558999,37546,0.4,False
4038,SARDENYA - CASP  (sentit mar),500_1000m,8052.285714285715,7663.75,-388.5357142857147,47012,3.4,False
5014,PELAI - BALMES,500_1000m,26759.285714285717,20846.809523809523,-5912.476190476191,5169,1.6,True
6005,CÒRSEGA - NÀPOLS  (sentit Llobregat),500_1000m,14161.285714285714,16748.375,2587.0892857142862,46719,2.0,False
5012,FONTANELLA - PL. CATALUNYA,500_1000m,11373.833333333334,11221.916666666666,-151.91666666666788,24796,0.2,False
4083,MARINA - CASP (Pujada),500_1000m,18198.0,17085.75,-1112.25,44441,5.2,False
6004,ROSSELLÓ - NÀPOLS (sentit Besòs),500_1000m,23899.14285714286,23150.590909090908,-748.5519480519506,39222,4.1,False
3028,AV. PARAL·LEL -  JAUME FABRA (Pujada),500_1000m,14431.142857142857,13615.75,-815.3928571428569,47700,2.8,False
4040,BALMES - ROSSELLÓ (baixada),500_1000m,31046.85714285714,29274.466666666667,-1772.390476190474,53059,0.1,False
5017,PG. LLUÍS COMPANYS - ALMOGÀVERS (Pujada),500_1000m,8221.166666666666,12216.0,3994.833333333334,28811,2.7,False
4086,JARDINS SALVADOR ESPRIU -DIAGONAL  (sentit Llobregat),500_1000m,11641.0,10222.347826086956,-1418.652173913044,56385,9.3,False
