renda_q,n,pop,renda_median,pct_x100_median,pct_drop_median,pct_hansen_median,d_axis_net_median_m
1,211,346506.0,16797.0,0.0,-0.1057189805309287,-0.0161642613348029,4264.322277704244
2,210,323572.0,20437.5,0.0,-0.10478982013165,-0.01694801006896475,3076.2537965506544
3,210,321133.0,22671.5,0.0,-0.1047097521890023,-0.0175253664884416,2296.7395506571265
4,210,306191.0,25013.0,0.0,-0.1047097521890023,-0.02191356639518225,1528.9115284479035
5,211,318231.0,29765.0,0.0,-0.1047856926265509,-0.0245186764946337,2101.775078505365
